image_name,x1,x2,y1,y2
JPEG_20160517_140621_1000651031832.png,78,446,83,422
1473231510890DeeplearnS11456.png,73,567,146,351
1476881557883Untitled1.png,13,561,124,362
1474264827890cobalt-beyond-the-sea-maxi-dress3.png,0,640,140,330
JPEG_20160711_113321_1000235741992.png,217,442,65,465
147954714706311.png,48,592,47,480
JPEG_20161117_154532_1000146348308.png,160,591,127,359
1469052256414DSC_0653.png,37,640,0,480
14581478747652.png,197,438,113,364
JPEG_20161207_165644_1000961805303.png,206,448,143,364
JPEG_20161118_190252_1000475666188.png,89,488,39,429
JPEG_20161123_181824_1000611096667.png,293,392,70,420
JPEG_20160526_150511_100091994275.png,169,406,0,480
1476878834852Untitled1.png,75,632,57,457
1470747128351DSC_0256.png,125,549,49,430
1469516484508DSC_0431_1.png,21,624,34,456
1475009449259DSC020551.png,13,622,90,370
147437487175911471341993644-Roadster-Cream-Coloured-Printed-T-shirt-8851471341993393-4.png,2,638,147,339
1475559143203mocha-chasing-summer-maxi-dress.png,0,640,146,352
147436763182011469615979143-Roadster-Blue-Skinny-Fit-Jeans-7871469615978787-1.png,0,640,86,363
1471594607670DSC_0103.png,10,636,173,315
JPEG_20161210_125104_1000144436971.png,65,532,53,369
147437508529811470139727518-Roadster-Navy-Hooded-Sweatshirt-6141470139727398-5.png,0,640,0,480
1473405665976black-always-open-back-midi-dress.png,3,634,152,341
JPEG_20161128_170230_1000366955179.png,35,580,180,349
JPEG_20161007_152608_1000228164735.png,42,605,156,347
147445039931011472642879846-Roadster-Women-Green-Checked-Shirt-Dress-5591472642879643-2.png,0,639,107,385
1476773560971DSC_8789.png,201,606,0,449
JPEG_20160611_120832_1000308675808.png,67,574,100,351
JPEG_20161126_144054_1000330319257.png,56,526,140,360
1472824149661DSC_3380.png,91,613,76,384
1467893191516DSC_0010.png,145,599,173,317
JPEG_20161124_171639_1000992177080.png,218,453,71,381
14714399918512.png,38,625,39,434
147444877948011471678765025-Roadster-Men-Light-Brown-Printed-T-shirt-4741471678764782-2.png,0,640,73,419
1467815275518DSC_0191.png,211,422,139,384
JPEG_20160929_113805_1000323994545.png,9,534,130,430
1474273419910MS-8502372.png,30,640,72,480
1479455928674Sin16-11-201611360.png,0,640,80,450
1474101498756black-olvera-open-back-maxi-dress.png,0,640,162,334
1474118108544BRT467334.png,17,626,65,427
147443857529811470052091818-RDSTR-Grey-Casual-Shirt-71470052101703-3.png,0,640,66,408
147444584239111469619096559-Roadster-Men-Casual-Shoes-9011469619096471-5.png,43,640,48,420
147142993226120160423_175742.png,189,586,120,333
JPEG_20160628_132756_1000139640802.png,89,467,116,382
1467785369215DSC_0019.png,204,434,105,378
147771707740120161028_153434.png,96,507,9,395
1474272589082NEL793066.png,21,572,41,426
147742431796620161025_142621.png,100,450,156,336
1479747460474SpringField16-11-201610890.png,1,640,103,412
JPEG_20160607_161754_100010819310.png,96,570,132,355
JPEG_20161025_124252_1000655486064.png,62,528,73,439
1474264604326coral-happily-ever-after-day-dress4.png,0,640,152,333
JPEG_20161123_131331_1000615275006.png,188,418,14,433
1472826035474DSC_3497.png,212,321,201,301
147771738670920161028_170650.png,87,640,80,480
1480502261060IMG_20161129_193613.png,31,640,82,352
JPEG_20160711_113533_1000157417450.png,47,612,137,337
JPEG_20160625_165009_1000802034298.png,140,555,165,317
1472553605548DSC_2022.png,40,599,2,423
